Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:37.292000,VER,1,,1.0,1.0,0 days 00:17:37.025000,,,0 days 00:00:38.143000,0 days 00:00:51.111000,,0 days 00:18:46.220000,0 days 00:19:37.300000,226.0,157.0,272.0,177.0,False,SOFT,3.0,False,Red Bull Racing,0 days 00:17:37.025000,2025-03-22 07:04:42.532,1,,False,,False,False
0 days 00:21:08.716000,VER,1,0 days 00:01:31.424000,2.0,1.0,,,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,0 days 00:20:01.548000,0 days 00:20:29.053000,0 days 00:21:08.716000,284.0,277.0,269.0,335.0,True,SOFT,4.0,False,Red Bull Racing,0 days 00:19:37.292000,2025-03-22 07:06:42.799,1,,False,,False,True
0 days 00:23:02.920000,VER,1,0 days 00:01:54.204000,3.0,1.0,,0 days 00:23:00.923000,0 days 00:00:28.079000,0 days 00:00:35.365000,0 days 00:00:50.760000,0 days 00:21:36.795000,0 days 00:22:12.160000,0 days 00:23:02.920000,253.0,247.0,,241.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:21:08.716000,2025-03-22 07:08:14.223,1,,False,,False,False
0 days 00:43:08.962000,VER,1,,4.0,2.0,0 days 00:41:02.247000,,,0 days 00:00:36.785000,0 days 00:00:57.674000,,0 days 00:42:11.288000,0 days 00:43:09.054000,236.0,216.0,273.0,255.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:23:02.920000,2025-03-22 07:10:08.427,12,,False,,False,False
0 days 00:44:40.196000,VER,1,0 days 00:01:31.234000,5.0,2.0,,,0 days 00:00:24.033000,0 days 00:00:27.446000,0 days 00:00:39.755000,0 days 00:43:32.995000,0 days 00:44:00.441000,0 days 00:44:40.196000,285.0,278.0,268.0,332.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:08.962000,2025-03-22 07:30:14.469,1,,False,,False,True
0 days 00:46:27.391000,VER,1,0 days 00:01:47.195000,6.0,2.0,,0 days 00:46:25.640000,0 days 00:00:28.148000,0 days 00:00:30.001000,0 days 00:00:49.046000,0 days 00:45:08.344000,0 days 00:45:38.345000,0 days 00:46:27.391000,256.0,248.0,,283.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:40.196000,2025-03-22 07:31:45.703,1,,False,,False,False
0 days 00:50:07.253000,VER,1,,7.0,3.0,0 days 00:48:11.578000,,,0 days 00:00:39.642000,0 days 00:00:47.757000,,0 days 00:49:19.510000,0 days 00:50:07.474000,271.0,237.0,273.0,266.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:46:27.391000,2025-03-22 07:33:32.898,1,,False,,False,False
0 days 00:51:38.395000,VER,1,0 days 00:01:31.142000,8.0,3.0,,,0 days 00:00:24.168000,0 days 00:00:27.318000,0 days 00:00:39.656000,0 days 00:50:31.421000,0 days 00:50:58.739000,0 days 00:51:38.395000,285.0,278.0,274.0,339.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:50:07.253000,2025-03-22 07:37:12.760,1,,False,,False,True
0 days 00:53:33.092000,VER,1,0 days 00:01:54.697000,9.0,3.0,,0 days 00:53:31.373000,0 days 00:00:27.903000,0 days 00:00:36.315000,0 days 00:00:50.479000,0 days 00:52:06.298000,0 days 00:52:42.613000,0 days 00:53:33.092000,244.0,248.0,,264.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:51:38.395000,2025-03-22 07:38:43.902,1,,False,,False,False
0 days 01:02:52.901000,VER,1,,10.0,4.0,0 days 01:00:58.064000,,,0 days 00:00:36.580000,0 days 00:00:46.237000,,0 days 01:02:06.772000,0 days 01:02:53.071000,215.0,183.0,273.0,284.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:53:33.092000,2025-03-22 07:40:38.599,12,,False,,False,False
0 days 01:04:23.826000,VER,1,0 days 00:01:30.925000,11.0,4.0,,,0 days 00:00:24.164000,0 days 00:00:27.238000,0 days 00:00:39.523000,0 days 01:03:17.065000,0 days 01:03:44.303000,0 days 01:04:23.826000,286.0,279.0,268.0,332.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:02:52.901000,2025-03-22 07:49:58.408,1,,False,,False,True
0 days 01:06:10.355000,VER,1,0 days 00:01:46.529000,12.0,4.0,,0 days 01:06:08.565000,0 days 00:00:28.326000,0 days 00:00:29.569000,0 days 00:00:48.634000,0 days 01:04:52.152000,0 days 01:05:21.721000,0 days 01:06:10.355000,252.0,249.0,,281.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:04:23.826000,2025-03-22 07:51:29.333,1,,False,,False,False
0 days 01:11:00.683000,VER,1,,13.0,5.0,0 days 01:09:17.431000,,,0 days 00:00:30.509000,0 days 00:00:44.938000,,0 days 01:10:15.802000,0 days 01:11:00.914000,261.0,271.0,274.0,306.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:06:10.355000,2025-03-22 07:53:15.862,1,,False,,False,False
0 days 01:12:31.500000,VER,1,0 days 00:01:30.817000,14.0,5.0,,,0 days 00:00:23.945000,0 days 00:00:27.313000,0 days 00:00:39.559000,0 days 01:11:24.628000,0 days 01:11:51.941000,0 days 01:12:31.500000,286.0,278.0,272.0,334.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:11:00.683000,2025-03-22 07:58:06.190,1,,False,,False,True
0 days 01:14:39.540000,VER,1,0 days 00:02:08.040000,15.0,5.0,,0 days 01:14:34.978000,0 days 00:00:31.981000,0 days 00:00:34.524000,0 days 00:01:01.535000,0 days 01:13:03.481000,0 days 01:13:38.005000,0 days 01:14:39.540000,206.0,206.0,,242.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:12:31.500000,2025-03-22 07:59:37.007,1,,False,,False,False
